"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"pa-ap-pí-en-na","pár-x[",NA,"KBo 15.52 I 17",628,"Bk. A","jh.","(406/f)","Par["
"URU","pí-x[",NA,"KBo 18.117 lk. Rd. 5",182,"T.I","sjh.","(364/v)","Pi["
"<U+1E2A>UR.SAG","pí-[",NA,"KUB 54.1 III 19'",389,"T.I","jh.","(552/u)","Pi["
"<U+1E2A>UR.SAG","pí-x[",NA,"KBo 59.42 7'",470,"T.I","jh.","(929/z)","Pi["
"URU","pí-x[",NA,"Bo 3394 I 5'",676,"<U+1E2A>attuša","jh.","(Bo 2714)","Pi["
"PÚ","pí-x-x[",NA,"KUB 38.6 I 24'",527,"<U+1E2A>attuša","sjh.","(Bo 434)","Pi["
"[<U+1E2A>]UR.SAG","pé-en-ta-ya-aš",NA,"KUB 29.1 II 24",414,"Bk. A","jh.","(1780/c)","Pentaya"
"<U+1E2A>UR.SAG","pí-ir-pí-ir-ra-an-za",NA,"KBo 55.186 r. Kol. 18'",590,"T.I","jh.","(473/z)","Pirpiranza"
"br.","]-ra-an-za",NA,"KUB 60.117 1'",590,"<U+1E2A>attuša","jh.","(Bo 1856)","Pirpiranza"
"<U+1E2A>UR.SAG","pí-ir-pí-ri",NA,"KBo 55.186 r. Kol. 20'",590,"T.I","jh.","(473/z)","Pirpiri["
"br.","p]í-ir-pí-r[i",NA,"KUB 60.117 3'",590,"<U+1E2A>attuša","jh.","(Bo 1856)","Pirpiri["
"<U+1E2A>UR.SAG","pí-ir-wa-[",NA,"KBo 8.29 5'",40,"Bk. A","jh.","(16/m)","Pirwašši"
"br.","]-ši-iš",NA,"KUB 26.84 II 15",40,"<U+1E2A>attuša","jh.","(Bo 2726)","Pirwašši"
"br.","p]í-ša-[",NA,"1198/u Rs. 19'",105,"T.I","sjh.","(1198/u)","Pišaiša"
